"column","dtype","missing_pct","n_unique"
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Молиявий ташкилотларга ишонмайман","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Кредит тузоғига тушишдан қўрқаман","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Даромадим барқарор эмас","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Жамғармаларим етарли","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Ҳужжатлар, расмийлаштириш жуда қийин","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Атрофимдагилар ёмон тажрибага эга","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Кредит шартларини тушунмайман","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Эътиқод билан боғлиқ сабаблар","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Оилам/яқинларим қарши","integer",0,2
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Бошқа","integer",0,2
"1-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Банк ташкилотидан","integer",0,1
"2-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Расмий насия хизматларидан (“Техномарт”, “Узум”, “Ишонч” в.б.)","integer",0,1
"3-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Норасмий насия хизматидан (бозорлар, дўконлар в.б.)","integer",0,1
"4-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслардан","integer",0,1
"5-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Микромолия ташкилотлардан","integer",0,1
"6-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Ломбардлардан","integer",0,1
"7-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Оила аъзолари, дўстлар ёки танишлардан","integer",0,1
"8-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Бошқа манбалардан","integer",0,1
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?","character",0,8
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?/Ҳа (ўзимнинг номимга расмийлаштириб, ўзим учун олинган)","integer",0,2
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?/Ҳа (менинг номимга расмийлаштирилган, лекин бошқа биров учун олинган)","integer",0,2
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?/Ҳа (бошқа бировнинг номига расмийлаштириб, ўзим учун олганман)","integer",0,2
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?/Йўқ","integer",0,2
"2.4.1. Бугунги кунда номингизда нечта кредит/қарз/насия бўйича тўловларни амалга оширяпсиз?","numeric",0,12
"2.4.3. Агар даромадсиз қолсангиз, неча ой давомида кредит/қарз/насия тўловларини амалга ошириш имкониятига эгасиз?","character",0,7
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Тижорат банкидан","integer",0,2
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Расмий насия хизматидан (Техномарт, Узум, Ишонч в.б.)","integer",0,2
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Микромолия ташкилотларидан","integer",0,2
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Ломбардлардан","integer",0,2
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслардан","integer",0,2
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Оила аъзолари, дўстлар ёки танишлардан","integer",0,2
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Бошқа манбадан","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Кундалик харажатларни қоплаш","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Соғлиқни сақлаш харажатларини қоплаш","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Маиший техника / уй жиҳозлари сотиб олиш","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Автомобил (тарнспорт воситалари) харид қилиш","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Таълим харажатларини қоплаш","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Тўй ёки оилавий маросим ўтказиш","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Уй-жойга эга бўлиш (ипотека)","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Уй-жойни таъмирлаш","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Бошқа қарзларни тўлаш (олдин олинган кредит ва қарзлар)","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Ишлаш учун четга кетиш харажатларини қоплаш","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Бизнесни бошлаш ёки кенгайтириш","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Оилавий тадбиркорликни юритиш","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Қариндошларим / яқинларимга ёрдам бериш","integer",0,2
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Бошқа","integer",0,2
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Бизнес ғоямни амалга ошириш учун","integer",0,2
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Фоизлари нисбатан паст бўлган","integer",0,2
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Яқинларимнинг муваффақиятли тажрибасини кўриб қарор қабул қилганман","integer",0,2
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Босим ва таъсир остида олдим","integer",0,2
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Бировнинг маслаҳатига ишониб кредит олдим","integer",0,2
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Бошқа","integer",0,2
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Даромадлар кутилганидан паст бўлган","integer",0,2
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Бизнес юрмаган (ташқи омиллар таъсир қилди, тажриба ва билим етишмаган)","integer",0,2
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Давлат кредитини қайтариш керак эмас деган фикр бўлган","integer",0,2
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Пулларни бизнесга эмас, истеъмолга йўналтирилган","integer",0,2
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Кредит шартлари нотўғри талқин қилинган","integer",0,2
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?/Бошқа сабаб","integer",0,2
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Бизнес кўникмалари бўйича ўқув/тренинглар ташкил этиш ва маслаҳатлар бериш","integer",0,2
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Тўлов муддатларини мослашувчан қилиб бериш","integer",0,2
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Кредитни босқичма-босқич ажратиш","integer",0,2
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Бизнес режа тайёрлашда ёрдам бериш","integer",0,2
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Назоратни кучайтириш","integer",0,2
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Нақд пул ва пластик карта кўринишида бериш","integer",0,2
"2.7.в. Сизнингча, ушбу кредитларни ўз вақтида қайтарилишини даражасини ошириш учун қандай турдаги ёрдам ва қўллаб-қувватлаш чоралари зарур деб ҳисоблайсиз?/Бошқа","integer",0,2
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Зарурият туфайли","integer",0,2
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Имтиёз мавжудлиги учун","integer",0,2
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Танишлар тавсиясига кўра","integer",0,2
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Ҳокимият ва давлат ташкилотлари томонидан тавсия этилган","integer",0,2
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Алданиб қолиб олганман","integer",0,2
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Кредит тарихим яхшиланади деб ўйладим","integer",0,2
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Инфляциядан хавотир (келгусида маҳсулотнинг нархи ошиш хавфи)","integer",0,2
"2.10. Қарз (кредит, насия) олишга қарор қилишингизга нима таъсир кўрсатди?/Бошқа","integer",0,2
"3.1. Атрофингиздаги одамлар қарз (кредит, насия)ларини ўз вақтида тўлаяпти деб ўйлайсизми?","character",0,4
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?","character",0,84
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Иш жойида ойликни кечиктирилиши","integer",0,2
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Кредит танишлар томонидан мени номимга олинган бўлиб тўланмаса, мен тўлашим шарт эмас","integer",0,2
"3.2. Фикрингизча, қуйидагилардан қайси бири қарз (кредит, насия)ни кечиктириш ёки тўламаслик учун узрли сабаб бўлиши мумкин?/Фирибгарлар томонидан номимга кредит расмийлаштирилган бўлса","integer",0,2
