"column","type","dummy_block","dummy_option"
"7-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Маиший техника, уй жиҳозлари (мебел, ошҳона жиҳозлари в.б.)","dummy","7-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?","Маиший техника, уй жиҳозлари (мебел, ошҳона жиҳозлари в.б.)"
"8-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Бошқа қарзни тўлаш учун","dummy","8-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?","Бошқа қарзни тўлаш учун"
"9-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Бизнесни йўлга қўйиш ёки кенгайтириш учун","dummy","9-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?","Бизнесни йўлга қўйиш ёки кенгайтириш учун"
"10-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?/Бошқа мақсадлар учун (сайёҳат, чет элда ишлаш ва ҳ.к)","dummy","10-2.1. Сизнинг фикрингизча, одамлар қандай мақсадларда қарз, кредит ёки насия олиши мақсадга мувофиқ?","Бошқа мақсадлар учун (сайёҳат, чет элда ишлаш ва ҳ.к)"
"2.2. Қўшимча маблағ зарур бўлганда биринчи бўлиб қаерга ёки кимга мурожаат қиласиз?","single_or_text",,
"2.2.1. Қўшимча маблағ зарур бўлганда асосан қаерга ёки кимга мурожаат қиласиз? (Бошқа манба)","single_or_text",,
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)","single_or_text",,
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Қарз олиш осон ва тез","numeric",,
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Устамасиз (фоизсиз) олиш мумкин","numeric",,
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Расмий даромадга эга бўлмай туриб ҳам қарз олиш мумкин","numeric",,
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Диний сабаблар туфайли (рибо/фоиздан сақланиш)","numeric",,
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Кредит тарихи ёмонлиги сабабли расмий ташкилотларга мурожаат қила олмаслигим учун","numeric",,
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Банкларда кредит ставкаси ва харажатлари юқори бўлганлиги учун","numeric",,
"2.2.а. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (ушбу савол Норасмий насия хизмати, Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслар ва Оила аъзолари, дўстлар ёки танишларга варианталри белгиланса кўринади)/Бошқа сабаблар","numeric",,
"2.2.а.1. Нима учун норасмий қарз (пул кўринишида) ёки насияга (маҳсулот кўринишида) мурожаат қиласиз? (Бошқа)","single_or_text",,
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)","single_or_text",,
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Банкда шартлар аниқ ва қонуний","numeric",,
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Банк кредит тарихи шаклланади (кейинчалик фойдаси бор)","numeric",,
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Фоизлари (устамалари) бошқаларга нисбатан камроқ","numeric",,
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Банкда танишим ишлайди","numeric",,
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Йирик суммани норасмий олиш қийин","numeric",,
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Қулай ва осон (масалан, онлайн қарз олиш мумкин)","numeric",,
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Банклардан кредитни узоқ муддатга олиш мумкин","numeric",,
"2.2.б Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (ушбу савол Тижорат банки варианти белгиланса кўринади)/Бошқа сабаблар","numeric",,
"2.2.б.1. Нима сабабдан қарз олиш учун тижорат банкларига мурожаат қиласиз? (Бошқа)","single_or_text",,
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)","single_or_text",,
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Қарз олиш осон ва тез (онлайн олиш мумкин)","numeric",,
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Устамасиз (фоизсиз) олиш мумкин","numeric",,
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Расмий даромадга эга бўлмай туриб ҳам қарз олиш мумкин","numeric",,
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Диний сабаблар туфайли (рибо/фоиздан сақланиш)","numeric",,
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Кредит тарихи ёмонлиги учун","numeric",,
"2.2.в. Нима учун бошқа расмий кредит ва насия ташкилотларига мурожаат қиласиз? (ушбу савол Расмий насия хизматлари, Микромолия ташкилотлари ва Ломбардларга варианталри белгиланса кўринади)/Бошқа сабаблар","numeric",,
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?","single_or_text",,
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Молиявий ташкилотларга ишонмайман","dummy","2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?","Молиявий ташкилотларга ишонмайман"
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Кредит тузоғига тушишдан қўрқаман","dummy","2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?","Кредит тузоғига тушишдан қўрқаман"
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Даромадим барқарор эмас","dummy","2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?","Даромадим барқарор эмас"
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Жамғармаларим етарли","dummy","2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?","Жамғармаларим етарли"
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Ҳужжатлар, расмийлаштириш жуда қийин","dummy","2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?","Ҳужжатлар, расмийлаштириш жуда қийин"
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Атрофимдагилар ёмон тажрибага эга","dummy","2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?","Атрофимдагилар ёмон тажрибага эга"
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Кредит шартларини тушунмайман","dummy","2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?","Кредит шартларини тушунмайман"
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Эътиқод билан боғлиқ сабаблар","dummy","2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?","Эътиқод билан боғлиқ сабаблар"
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Оилам/яқинларим қарши","dummy","2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Оилам","яқинларим қарши"
"2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?/Бошқа","dummy","2.2.г. Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?","Бошқа"
"2.2.г.1 Сиз нега қарз, кредит, насия олмасликни афзал кўрасиз?(Бошқа)","single_or_text",,
"1-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Банк ташкилотидан","dummy","1-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?","Банк ташкилотидан"
"2-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Расмий насия хизматларидан (“Техномарт”, “Узум”, “Ишонч” в.б.)","dummy","2-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?","Расмий насия хизматларидан (“Техномарт”, “Узум”, “Ишонч” в.б.)"
"3-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Норасмий насия хизматидан (бозорлар, дўконлар в.б.)","dummy","3-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?","Норасмий насия хизматидан (бозорлар, дўконлар в.б.)"
"4-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслардан","dummy","4-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?","Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслардан"
"5-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Микромолия ташкилотлардан","dummy","5-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?","Микромолия ташкилотлардан"
"6-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Ломбардлардан","dummy","6-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?","Ломбардлардан"
"7-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Оила аъзолари, дўстлар ёки танишлардан","dummy","7-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?","Оила аъзолари, дўстлар ёки танишлардан"
"8-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?/Бошқа манбалардан","dummy","8-2.3 Қарз миқдоридан келиб чиқиб, қайси манбалардан қарз, кредит, насияни олишни афзал кўрасиз?","Бошқа манбалардан"
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?","single_or_text",,
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?/Ҳа (ўзимнинг номимга расмийлаштириб, ўзим учун олинган)","dummy","2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?","Ҳа (ўзимнинг номимга расмийлаштириб, ўзим учун олинган)"
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?/Ҳа (менинг номимга расмийлаштирилган, лекин бошқа биров учун олинган)","dummy","2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?","Ҳа (менинг номимга расмийлаштирилган, лекин бошқа биров учун олинган)"
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?/Ҳа (бошқа бировнинг номига расмийлаштириб, ўзим учун олганман)","dummy","2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?","Ҳа (бошқа бировнинг номига расмийлаштириб, ўзим учун олганман)"
"2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?/Йўқ","dummy","2.4. Бугунги кунда номингизда қарз, кредит ёки насия (рассрочка) мавжудми?","Йўқ"
"2.4.1. Бугунги кунда номингизда нечта кредит/қарз/насия бўйича тўловларни амалга оширяпсиз?","numeric",,
"2.4.2. Таҳминан оилавий даромадингизнинг қанча қисми (неча фоизи) қарзни қайтариш учун сарфланади?","single_or_text",,
"2.4.3. Агар даромадсиз қолсангиз, неча ой давомида кредит/қарз/насия тўловларини амалга ошириш имкониятига эгасиз?","single_or_text",,
"2.4.4. Даромадингиз ойма-ой қай даражада ўзгариб туради?","single_or_text",,
"2.5. Қарз, кредит, насия қайси манбадан олинган?","single_or_text",,
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Тижорат банкидан","dummy","2.5. Қарз, кредит, насия қайси манбадан олинган?","Тижорат банкидан"
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Расмий насия хизматидан (Техномарт, Узум, Ишонч в.б.)","dummy","2.5. Қарз, кредит, насия қайси манбадан олинган?","Расмий насия хизматидан (Техномарт, Узум, Ишонч в.б.)"
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Микромолия ташкилотларидан","dummy","2.5. Қарз, кредит, насия қайси манбадан олинган?","Микромолия ташкилотларидан"
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Ломбардлардан","dummy","2.5. Қарз, кредит, насия қайси манбадан олинган?","Ломбардлардан"
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслардан","dummy","2.5. Қарз, кредит, насия қайси манбадан олинган?","Кўчада фоиз эвазига пул (қарз) берувчи норасмий шахслардан"
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Оила аъзолари, дўстлар ёки танишлардан","dummy","2.5. Қарз, кредит, насия қайси манбадан олинган?","Оила аъзолари, дўстлар ёки танишлардан"
"2.5. Қарз, кредит, насия қайси манбадан олинган?/Бошқа манбадан","dummy","2.5. Қарз, кредит, насия қайси манбадан олинган?","Бошқа манбадан"
"2.5.1 Қарз, кредит, насия қайси манбадан олинган? (Бошқа)","single_or_text",,
"2.6. Қарз, кредит, насия нима сабабдан олинган?","single_or_text",,
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","single_or_text",,
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Кундалик харажатларни қоплаш","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Кундалик харажатларни қоплаш"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Соғлиқни сақлаш харажатларини қоплаш","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Соғлиқни сақлаш харажатларини қоплаш"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Маиший техника / уй жиҳозлари сотиб олиш","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Маиший техника "," уй жиҳозлари сотиб олиш"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Автомобил (тарнспорт воситалари) харид қилиш","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Автомобил (тарнспорт воситалари) харид қилиш"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Таълим харажатларини қоплаш","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Таълим харажатларини қоплаш"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Тўй ёки оилавий маросим ўтказиш","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Тўй ёки оилавий маросим ўтказиш"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Уй-жойга эга бўлиш (ипотека)","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Уй-жойга эга бўлиш (ипотека)"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Уй-жойни таъмирлаш","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Уй-жойни таъмирлаш"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Бошқа қарзларни тўлаш (олдин олинган кредит ва қарзлар)","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Бошқа қарзларни тўлаш (олдин олинган кредит ва қарзлар)"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Ишлаш учун четга кетиш харажатларини қоплаш","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Ишлаш учун четга кетиш харажатларини қоплаш"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Бизнесни бошлаш ёки кенгайтириш","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Бизнесни бошлаш ёки кенгайтириш"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Оилавий тадбиркорликни юритиш","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Оилавий тадбиркорликни юритиш"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Қариндошларим / яқинларимга ёрдам бериш","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Қариндошларим "," яқинларимга ёрдам бериш"
"2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?/Бошқа","dummy","2.7. Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган?","Бошқа"
"2.7.1 Ушбу қарзни (кредит, насия) олишда асосий мақсад нима бўлган? (Бошқа)","single_or_text",,
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?","single_or_text",,
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Бизнес ғоямни амалга ошириш учун","dummy","2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?","Бизнес ғоямни амалга ошириш учун"
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Фоизлари нисбатан паст бўлган","dummy","2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?","Фоизлари нисбатан паст бўлган"
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Яқинларимнинг муваффақиятли тажрибасини кўриб қарор қабул қилганман","dummy","2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?","Яқинларимнинг муваффақиятли тажрибасини кўриб қарор қабул қилганман"
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Босим ва таъсир остида олдим","dummy","2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?","Босим ва таъсир остида олдим"
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Бировнинг маслаҳатига ишониб кредит олдим","dummy","2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?","Бировнинг маслаҳатига ишониб кредит олдим"
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?/Бошқа","dummy","2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз?","Бошқа"
"2.7.a Нима сабабдан оилавий тадбиркорлик кредитини олгансиз? (Бошқа)","single_or_text",,
"2.7.б. Оилавий тадбиркорлик кредитларининг қайтарилмаслик сабаблари нима деб ўйлайсиз?","single_or_text",,
